doctor_id,name,specialization,highest_degree,experience,fee,degrees,wait_time,num_patients,rating,location,experience_years,experience_level_category,shift_start,shift_end,shift_duration_hours,avg_patient_handling_capacity,num_appointments_today,appointment_load,peak_hours_flag,previous_day_availability,is_available_today,date
1,Dr. Afshan Ahmad,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,15 Years,"Rs. 2,500",F.C.P.S (Dermatology),Under 15 Min,561,98%,Lahore,15,mid,10:00,15:00,5,30,35,1.1666666666667,,1,0,2024-01-01
2,Dr. Farhana Nazir,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500",M.C.P.S,Under 15 Min,487,99%,Lahore,10,mid,11:00,16:00,5,20,12,0.6,,0,1,2024-01-02
3,Dr. Mahwish Javed,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500","F.C.P.S (Dermatology),  MRCP1 (UK)",Under 15 Min,102,97%,Lahore,10,mid,8:00,16:00,8,20,6,0.3,1.0,1,0,2024-01-03
4,Dr. Tahir Kamal,"Dermatologist, Cosmetic Surgeon, Cosmetologist",MBBS,26 Years,"Rs. 3,000","FCPS (Dermatology),  MAACS (USA),  DDSC (UK)",Under 15 Min,694,97%,Lahore,26,senior,10:00,15:00,5,30,35,1.1666666666667,,0,0,2024-01-04
5,Dr. Adnan Mehmood,"Dermatologist, Hair Transplant Surgeon",MBBS,20 Years,"Rs. 2,000","M.D (Dermatology),  Post Graduation Diploma in Aesthetic Dermatology",Under 15 Min,1625,97%,Lahore,20,senior,10:00,15:00,5,30,8,0.26666666666667,,0,1,2024-01-05
6,Assoc. Prof. Dr. Uzma Sarwar,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS,18 Years,"Rs. 2,500","FCPS (Dermatology),  CHPE,  Certified in Aesthetic Physician",Under 15 Min,337,100%,Lahore,18,senior,11:00,14:00,3,30,31,1.0333333333333,,1,1,2024-01-06
7,Dr. Alina Abbas,"Dermatologist, Cosmetologist",M.B.B.S.,8 Years,"Rs. 1,500",F.C.P.S.,15 - 30 Min,782,100%,Lahore,8,mid,8:00,17:00,9,20,10,0.5,1.0,0,1,2024-01-07
8,Dr. Wajieha Saeed,"Dermatologist, Cosmetologist",MBBS,16 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,1320,98%,Lahore,16,senior,8:00,16:00,8,30,7,0.23333333333333,1.0,1,1,2024-01-08
9,Dr. Khadija Malik,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,16 Years,"Rs. 2,500",F.C.P.S. (Dermatology),Under 15 Min,787,98%,Lahore,16,senior,10:00,14:00,4,30,32,1.0666666666667,,0,0,2024-01-09
10,Dr. Zara Leghari,"Aesthetic Physician, Dermatologist",M.B.B.S,10 Years,"Rs. 2,000","Diploma in Aesthetic Medicine (USA),  Dip in Dermatology (UK)",15 - 30 Min,10,100%,Lahore,10,mid,9:00,15:00,6,20,22,1.1,1.0,1,1,2024-01-10
11,Dr. Saira Hameed,"Dermatologist, Cosmetologist",M.B.B.S,14 Years,"Rs. 1,000","F.C.P.S (Dermatology),  M.C.P.S",Under 15 Min,1281,98%,Lahore,14,mid,10:00,17:00,7,20,24,1.2,,0,0,2024-01-11
12,Dr. Huma Saleem,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 3,000","F.C.P.S. (Dermatology),  Board Certified Aesthetic Physician",Under 15 Min,513,99%,Lahore,10,mid,10:00,14:00,4,20,7,0.35,,0,1,2024-01-12
13,Dr. Quratul Ain Sajida,"Dermatologist, Cosmetologist",MBBS,32 Years,"Rs. 3,500",MCPS (Dermatology),Under 15 Min,1386,97%,Lahore,32,senior,10:00,16:00,6,30,21,0.7,,0,0,2024-01-13
14,Dr. Mahru Usman,"Dermatologist, Cosmetologist",MBBS,13 Years,"Rs. 2,000","MCPS (Dermatology),  Certificate in Aesthetic Medicine (USA)",15 - 30 Min,53,100%,Lahore,13,mid,10:00,14:00,4,20,3,0.15,,0,0,2024-01-14
15,Dr. Shadia Amir,"Dermatologist, Aesthetic Physician",M.B.B.S,16 Years,"Rs. 2,000","M.C.P.S (Dermatology),  D-Derm (UK),  Diplomate American Academy Of Aesthetic Medicine (AAAM)",Under 15 Min,238,99%,Lahore,16,senior,11:00,16:00,5,30,39,1.3,,0,0,2024-01-15
16,Assist. Prof. Dr. Ghazala Butt,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,18 Years,"Rs. 3,000","M.D (Dermatology),  Ph.D",Under 15 Min,365,99%,Lahore,18,senior,8:00,15:00,7,30,2,0.066666666666667,1.0,1,1,2024-01-16
17,Assoc. Prof. Dr. Talat Masood Akbar,"Dermatologist, Cosmetologist",MBBS,19 Years,"Rs. 3,000",FCPS (Dermatology),Under 15 Min,125,100%,Lahore,19,senior,11:00,17:00,6,30,28,0.93333333333333,,0,0,2024-01-17
18,Dr. Samina Kausar,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,21 Years,"Rs. 2,500",MCPS (Dermatologist),Under 15 Min,679,99%,Lahore,21,senior,11:00,17:00,6,30,28,0.93333333333333,,1,1,2024-01-18
19,Dr. Amber Bashir,"Dermatologist, Aesthetic Physician",M.B.B.S,7 Years,"Rs. 2,500","Diploma in Cosmetic Medicine,  M.C.P.S",Under 15 Min,423,98%,Lahore,7,mid,11:00,17:00,6,20,33,1.65,,1,0,2024-01-19
20,Assist. Prof. Dr. Sana Younas,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 2,500",F.C.P.S.,15 - 30 Min,1082,98%,Lahore,10,mid,10:00,15:00,5,20,33,1.65,,1,0,2024-01-20
21,Dr. Ashba Nasir Cheema,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,15 Years,"Rs. 2,000","M.C.P.S,  M.D.",Under 15 Min,1042,98%,Lahore,15,mid,9:00,16:00,7,30,27,0.9,1.0,0,0,2024-01-21
22,Dr. Waqar Malik,"Dermatologist, Cosmetologist",M.B.B.S.,6 Years,"Rs. 1,000","M.Sc Clinical Dermatology (UK),  Professional Diploma in Facial Aesthetic,  Certified in Dermal Fillers,  PRGF,  Microneedling & Mesotherapy",15 - 30 Min,33,100%,Lahore,6,mid,8:00,15:00,7,20,12,0.6,1.0,1,0,2024-01-22
23,Dr. Muneeza Qamar,"Dermatologist, Cosmetologist",F.C.P.S.,9 Years,"Rs. 2,000",M.B.B.S.,Under 15 Min,732,99%,Lahore,9,mid,9:00,17:00,8,20,14,0.7,1.0,0,0,2024-01-23
24,Dr. Samra Sadaf,"Dermatologist, Cosmetologist",M.B.B.S,"91%
                                                                                    (55)","Rs. 1,200",M.C.P.S. (Dermatology),5 Years,55,,Lahore,91,senior,11:00,15:00,4,30,22,0.73333333333333,,1,1,2024-01-24
25,Dr. Asma Kanwal Jawad,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",DIP in DERMATOLOGY (MD Dermatology),Under 15 Min,679,98%,Lahore,12,mid,11:00,15:00,4,20,25,1.25,,1,0,2024-01-25
